Ward Code,Diabetes_2010,Hypertension_2010,Diabetes_2011,Hypertension_2011,Diabetes_2012,Hypertension_2012,Diabetes_2013,Hypertension_2013,Diabetes_2014,Hypertension_2014,Diabetes_2015,Hypertension_2015,Diabetes_2016,Hypertension_2016,Diabetes_2017,Hypertension_2017,Diabetes_2018,Hypertension_2018,Diabetes_2019,Hypertension_2019
E05000447,2.148380142,1.492300937,2.504757548,1.666626003,2.716916524,1.745884898,2.617764942,1.681480274,2.71856046,1.754269599,2.68443797,1.726683963,2.544055862,1.692279623,2.470695485,1.697039243,2.407514789,1.596620442,2.375315813,1.572313183
E05000448,0.779580186,0.569970258,0.786241934,0.552807428,0.803418951,0.548807727,0.802574248,0.540860523,0.840120848,0.536487301,0.873935087,0.557860174,0.804674035,0.546173015,0.794464477,0.551481525,0.747748284,0.536245685,0.787756006,0.539505951
E05000449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E05000450,1.574750127,1.316901212,1.479043166,1.287391143,1.724354276,1.379389275,1.646208291,1.332962787,1.621336952,1.304567996,1.536701261,1.242717406,1.550229327,1.282317823,1.536044253,1.27321067,1.51806616,1.221197212,1.421956958,1.246971333
E05000451,1.491464274,1.094820049,1.666248421,1.234348209,1.433002506,0.993661334,1.319477735,0.944459267,1.388402245,0.948543718,1.386780133,0.930899991,1.389595938,0.892700752,1.386626865,0.953786703,1.270051468,0.864538283,1.290794669,0.929342756
E05000452,3.01579051,2.495099506,3.239776693,2.510516418,3.619915053,2.733960493,3.431660253,2.590535102,3.309630498,2.536768993,3.277891752,2.513407014,3.122045354,2.352067183,3.194737436,2.312453723,2.817628948,2.126873124,2.765421786,2.189536603
E05000453,2.373659102,2.015833284,2.37930941,1.979788893,2.732830026,2.110264279,2.570812642,2.034641938,2.459580943,1.96126899,2.394790149,1.93173133,2.337408666,1.898662643,2.29917574,1.840618099,2.357590886,1.963453425,2.292636002,1.966376461
E05000454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E05000455,1.062679545,0.95869613,1.119221647,0.894161499,1.220610965,1.025742027,1.226922863,0.945730651,1.250669136,0.88312403,1.214269672,0.877558546,1.182103148,0.853824355,1.146473198,0.841376554,1.085880979,0.843289159,1.059823202,0.808001146
E05000456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
